run_date,asof,kuplariski,pilari_A,pilari_B,aariarvot_osuus,kattavuus,analogi,analogi_pct
2026-09-18,2026-09-30,75.87,99.48,40.45,50.0,66.7,2000-03 Dotcom,73.1
2026-09-18,2026-09-30,75.91,99.55,40.45,57.1,77.8,2000-03 Dotcom,67.7
2026-09-18,2026-09-30,73.24,99.55,33.79,50.0,88.9,2000-03 Dotcom,45.6
2026-09-19,2026-09-30,73.24,99.55,33.79,50.0,88.9,2000-03 Dotcom,45.6
2026-09-19,2026-09-30,81.32,99.55,53.98,50.0,90.9,2000-03 Dotcom,45.6
2026-09-19,2026-09-30,81.32,99.55,53.98,50.0,90.9,2000-03 Dotcom,45.6
2026-09-20,2026-09-30,83.41,99.55,59.22,54.5,100.0,2021-11 Pandemiakupla,34.9
2026-09-20,2026-09-30,83.41,99.55,59.22,54.5,100.0,2021-11 Pandemiakupla,34.9
2026-09-20,2026-09-30,83.41,99.55,59.22,54.5,100.0,2021-11 Pandemiakupla,34.9
2026-09-20,2026-09-30,83.41,99.55,59.22,54.5,100.0,2021-11 Pandemiakupla,34.9
2026-09-20,2026-09-30,83.41,99.55,59.22,54.5,100.0,2021-11 Pandemiakupla,34.9
