,pct_A1,pct_A4,pct_A6,pct_A8,pct_B3,pct_B4,pct_B5,pct_B6,pct_B7,pilari_A,pilari_B,kuplariski
1871-01-31,,,,,,,,,,,,
1871-02-28,,,,,,,,,,,,
1871-03-31,,,,,,,,,,,,
1871-04-30,,,,,,,,,,,,
1871-05-31,,,,,,,,,,,,
1871-06-30,,,,,,,,,,,,
1871-07-31,,,,,,,,,,,,
1871-08-31,,,,,,,,,,,,
1871-09-30,,,,,,,,,,,,
1871-10-31,,,,,,,,,,,,
1871-11-30,,,,,,,,,,,,
1871-12-31,,,,,,,,,,,,
1872-01-31,,,,,,,,,,,,
1872-02-29,,,,,,,,,,,,
1872-03-31,,,,,,,,,,,,
1872-04-30,,,,,,,,,,,,
1872-05-31,,,,,,,,,,,,
1872-06-30,,,,,,,,,,,,
1872-07-31,,,,,,,,,,,,
1872-08-31,,,,,,,,,,,,
1872-09-30,,,,,,,,,,,,
1872-10-31,,,,,,,,,,,,
1872-11-30,,,,,,,,,,,,
1872-12-31,,,,,,,,,,,,
1873-01-31,,,,,,,,,,,,
1873-02-28,,,,,,,,,,,,
1873-03-31,,,,,,,,,,,,
1873-04-30,,,,,,,,,,,,
1873-05-31,,,,,,,,,,,,
1873-06-30,,,,,,,,,,,,
1873-07-31,,,,,,,,,,,,
1873-08-31,,,,,,,,,,,,
1873-09-30,,,,,,,,,,,,
1873-10-31,,,,,,,,,,,,
1873-11-30,,,,,,,,,,,,
1873-12-31,,,,,,,,,,,,
1874-01-31,,,,,,,,,,,,
1874-02-28,,,,,,,,,,,,
1874-03-31,,,,,,,,,,,,
1874-04-30,,,,,,,,,,,,
1874-05-31,,,,,,,,,,,,
1874-06-30,,,,,,,,,,,,
1874-07-31,,,,,,,,,,,,
1874-08-31,,,,,,,,,,,,
1874-09-30,,,,,,,,,,,,
1874-10-31,,,,,,,,,,,,
1874-11-30,,,,,,,,,,,,
1874-12-31,,,,,,,,,,,,
1875-01-31,,,,,,,,,,,,
1875-02-28,,,,,,,,,,,,
1875-03-31,,,,,,,,,,,,
1875-04-30,,,,,,,,,,,,
1875-05-31,,,,,,,,,,,,
1875-06-30,,,,,,,,,,,,
1875-07-31,,,,,,,,,,,,
1875-08-31,,,,,,,,,,,,
1875-09-30,,,,,,,,,,,,
1875-10-31,,,,,,,,,,,,
1875-11-30,,,,,,,,,,,,
1875-12-31,,,,,,,,,,,,
1876-01-31,,,,,,,,,,,,
1876-02-29,,,,,,,,,,,,
1876-03-31,,,,,,,,,,,,
1876-04-30,,,,,,,,,,,,
1876-05-31,,,,,,,,,,,,
1876-06-30,,,,,,,,,,,,
1876-07-31,,,,,,,,,,,,
1876-08-31,,,,,,,,,,,,
1876-09-30,,,,,,,,,,,,
1876-10-31,,,,,,,,,,,,
1876-11-30,,,,,,,,,,,,
1876-12-31,,,,,,,,,,,,
1877-01-31,,,,,,,,,,,,
1877-02-28,,,,,,,,,,,,
1877-03-31,,,,,,,,,,,,
1877-04-30,,,,,,,,,,,,
1877-05-31,,,,,,,,,,,,
1877-06-30,,,,,,,,,,,,
1877-07-31,,,,,,,,,,,,
1877-08-31,,,,,,,,,,,,
1877-09-30,,,,,,,,,,,,
1877-10-31,,,,,,,,,,,,
1877-11-30,,,,,,,,,,,,
1877-12-31,,,,,,,,,,,,
1878-01-31,,,,,,,,,,,,
1878-02-28,,,,,,,,,,,,
1878-03-31,,,,,,,,,,,,
1878-04-30,,,,,,,,,,,,
1878-05-31,,,,,,,,,,,,
1878-06-30,,,,,,,,,,,,
1878-07-31,,,,,,,,,,,,
1878-08-31,,,,,,,,,,,,
1878-09-30,,,,,,,,,,,,
1878-10-31,,,,,,,,,,,,
1878-11-30,,,,,,,,,,,,
1878-12-31,,,,,,,,,,,,
1879-01-31,,,,,,,,,,,,
1879-02-28,,,,,,,,,,,,
1879-03-31,,,,,,,,,,,,
1879-04-30,,,,,,,,,,,,
1879-05-31,,,,,,,,,,,,
1879-06-30,,,,,,,,,,,,
1879-07-31,,,,,,,,,,,,
1879-08-31,,,,,,,,,,,,
1879-09-30,,,,,,,,,,,,
1879-10-31,,,,,,,,,,,,
1879-11-30,,,,,,,,,,,,
1879-12-31,,,,,,,,,,,,
1880-01-31,,,,,,,,,,,,
1880-02-29,,,,,,,,,,,,
1880-03-31,,,,,,,,,,,,
1880-04-30,,,,,,,,,,,,
1880-05-31,,,,,,,,,,,,
1880-06-30,,,,,,,,,,,,
1880-07-31,,,,,,,,,,,,
1880-08-31,,,,,,,,,,,,
1880-09-30,,,,,,,,,,,,
